id,smiles
CHEMBL2324047,Clc1ccc(C2=NO[C@H](Cc3ccccc3)C2)cc1
CHEMBL2324088,COc1ccc(C2=NO[C@H](Cc3ccccc3)C2)cc1
CHEMBL2324042,Fc1ccc(C2=NO[C@H](Cc3ccccc3)C2)cc1
CHEMBL2324086,COc1cccc(C2=NO[C@H](Cc3ccccc3)C2)c1
CHEMBL2324045,Clc1ccccc1C1=NOC(Cc2ccccc2)O1
CHEMBL2324053,O=[N+]([O-])c1ccc(C2=NOC(Cc3ccccc3)C2)cc1
CHEMBL2324097,Oc1cccc(C2=NO[C@H](Cc3ccccc3)C2)c1
CHEMBL2324068,Fc1ccc(C[C@@H]2CC(c3ccc(Cl)cc3)=NO2)cc1
CHEMBL2324051,N#Cc1ccc(C2=NO[C@H](Cc3ccccc3)C2)cc1
CHEMBL2324082,COc1ccccc1C1=NO[C@H](Cc2ccccc2)C1
CHEMBL2324044,Clc1ccccc1C1=NOC(Cc2ccccc2)C1
CHEMBL2324104,Fc1cccc(C2=NO[C@H](Cc3ccccc3)C2)c1
CHEMBL2324101,Fc1ccccc1C1=NO[C@H](Cc2ccccc2)C1
CHEMBL2324092,COc1ccc(C2=NO[C@H](Cc3ccccc3)O2)cc1
CHEMBL2324058,COc1ccc(C2=NO[C@H](Cc3cccc(OC)c3)C2)cc1
CHEMBL2324076,c1ccc(C[C@@H]2CC(c3ccccc3)=NO2)cc1
CHEMBL2324056,COc1ccc(C2=NO[C@H](Cc3ccccc3OC)C2)cc1
CHEMBL2324095,Oc1ccccc1C1=NO[C@H](Cc2ccccc2)C1
CHEMBL2324084,COc1ccccc1C1=NO[C@H](Cc2ccccc2)O1
CHEMBL2324103,Fc1ccccc1C1=NOC(Cc2ccccc2)O1
CHEMBL2324093,COc1ccc(C2=NO[C@@H](Cc3ccccc3)O2)cc1
CHEMBL2324054,COc1ccc(C2=NO[C@H](Cc3ccc(F)cc3)C2)cc1
CHEMBL2324090,COc1ccc(C2=NO[C@H](CCc3ccccc3)C2)cc1
CHEMBL2324046,Clc1cccc(C2=NOC(Cc3ccccc3)C2)c1
CHEMBL2324062,COc1ccccc1CC1CC(c2ccc(Cl)cc2)=NO1
CHEMBL2324063,COc1cccc(C[C@@H]2CC(c3ccc(Cl)cc3)=NO2)c1
CHEMBL2324094,COc1ccc(C2=NOC(C)(Cc3ccccc3)C2)cc1
CHEMBL2324050,CC1(Cc2ccccc2)CC(c2ccc(Cl)cc2)=NO1
CHEMBL406835,O=c1cc(-c2ccccc2O)oc2ccc3ccccc3c12
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
CHEMBL2164481,C=C(C)Cn1ccc2c(Oc3ccc(NC)cc3)ncnc12
CHEMBL2164483,CNc1ccc(Oc2ncnc3c2ccn3CC(C)(C)C)cc1
CHEMBL258888,O=C(/C=C\Nc1ccccc1Br)c1ccccn1
CHEMBL405317,c1ccc(-c2ccc(-c3nc(-c4ccccn4)no3)cc2)cc1
CHEMBL405914,COc1ccc(C(=O)Nc2ccc(C)cn2)c(OC)c1
