id,smiles,inchi,inchikey,formula,mw,hba,hbd,tpsa,rb,fp3,logp,violates_ro5,pubchem,chembl,zinc,mol_weight
EOS98620,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+",LUKBXSAWLPMMSZ-OWOJBTEDSA-N,C14H12O3,228.2469940185547,3,3,60.68999862670898,2,0.0,2.97379994392395,0,CID445154,CHEMBL165,ZINC000000006787,228.078644244
EOS465,COc1cc(NC(=O)c2cccc3c2C(=O)N(Cc2cccnc2)C3)cc(OC)c1OC,"InChI=1S/C24H23N3O5/c1-30-19-10-17(11-20(31-2)22(19)32-3)26-23(28)18-8-4-7-16-14-27(24(29)21(16)18)13-15-6-5-9-25-12-15/h4-12H,13-14H2,1-3H3,(H,26,28)",PWMBBBWQUZZSLQ-UHFFFAOYSA-N,C24H23N3O5,433.4639892578125,8,1,89.98999786376953,7,0.2083333283662796,3.515700101852417,0,CID5309844,CHEMBL1579418,ZINC000006530913,433.163770836
EOS1030,Cc1cccc(-n2ncc3c(N4CCCC4)ncnc23)c1,"InChI=1S/C16H17N5/c1-12-5-4-6-13(9-12)21-16-14(10-19-21)15(17-11-18-16)20-7-2-3-8-20/h4-6,9-11H,2-3,7-8H2,1H3",GJMOXOFITBMXMF-UHFFFAOYSA-N,C16H17N5,279.34698486328125,5,0,46.84000015258789,2,0.3125,2.7241199016571045,0,CID876594,CHEMBL1412137,ZINC000000445251,279.148395544
EOS2383,O=C(Nc1cccc(O)c1)c1cc(-c2ccc3c(c2)OCO3)on1,"InChI=1S/C17H12N2O5/c20-12-3-1-2-11(7-12)18-17(21)13-8-15(24-19-13)10-4-5-14-16(6-10)23-9-22-14/h1-8,20H,9H2,(H,18,21)",FWMVEZZMCWIMNV-UHFFFAOYSA-N,C17H12N2O5,324.2919921875,7,2,93.81999969482422,3,0.0588235296308994,3.0281999111175537,0,CID3662257,CHEMBL1332533,ZINC000000425648,324.074621484
EOS35934,O=c1c2ccccc2cnn1-c1nc2ccccc2[nH]1,"InChI=1S/C15H10N4O/c20-14-11-6-2-1-5-10(11)9-16-19(14)15-17-12-7-3-4-8-13(12)18-15/h1-9H,(H,17,18)",NIVVPIQJPNSGGS-UHFFFAOYSA-N,C15H10N4O,262.2720031738281,5,1,63.56999969482422,1,0.0,2.26200008392334,0,CID727588,CHEMBL1612044,ZINC000000137095,262.08546094
EOS67648,COc1ccc2nc(NC(=O)c3ccoc3C)sc2c1,"InChI=1S/C14H12N2O3S/c1-8-10(5-6-19-8)13(17)16-14-15-11-4-3-9(18-2)7-12(11)20-14/h3-7H,1-2H3,(H,15,16,17)",ZPAKLFIOMOLZIZ-UHFFFAOYSA-N,C14H12N2O3S,288.3280029296875,5,1,64.36000061035156,3,0.1428571492433548,3.458620071411133,0,CID1245272,CHEMBL408850,ZINC000001053650,288.056863244
EOS84386,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,"InChI=1S/C14H11N3O/c18-13(10-6-2-1-3-7-10)17-14-15-11-8-4-5-9-12(11)16-14/h1-9H,(H2,15,16,17,18)",LYLQJTSHZYGWBO-UHFFFAOYSA-N,C14H11N3O,237.26199340820312,4,2,57.77999877929688,2,0.0,2.815200090408325,0,CID2302856,CHEMBL210730,ZINC000006440900,237.090211972
EOS100310,COc1ccc(-c2cc3nnc(-c4ccccc4)nc3s2)cc1,"InChI=1S/C18H13N3OS/c1-22-14-9-7-12(8-10-14)16-11-15-18(23-16)19-17(21-20-15)13-5-3-2-4-6-13/h2-11H,1H3",NCPMGOXPOHLXNY-UHFFFAOYSA-N,C18H13N3OS,319.3890075683594,4,0,47.900001525878906,3,0.0555555559694767,4.428899765014648,0,CID6401148,CHEMBL475627,ZINC000000134132,319.077933036
EOS101155,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",UDMBCSSLTHHNCD-KQYNXXCUSA-N,C10H14N5O7P,347.2239990234375,12,6,186.07000732421875,4,0.5,-1.8630000352859497,1,CID6083,CHEMBL752,ZINC000003860156,347.0630844179999
EOS101397,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,"InChI=1S/C12H9F3N2O2/c1-7-10(6-16-19-7)11(18)17-9-4-2-8(3-5-9)12(13,14)15/h2-6H,1H3,(H,17,18)",VHOGYURTWQBHIL-UHFFFAOYSA-N,C12H9F3N2O2,270.2099914550781,4,1,55.130001068115234,2,0.1666666716337204,3.254120111465454,0,CID3899,CHEMBL960,ZINC000000004840,270.061612188
EOS102103,CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1,"InChI=1S/C20H19N3O2/c1-3-23(4-2)14-10-9-13-11-15(20(24)25-18(13)12-14)19-21-16-7-5-6-8-17(16)22-19/h5-12H,3-4H2,1-2H3,(H,21,22)",GOLORTLGFDVFDW-UHFFFAOYSA-N,C20H19N3O2,333.3909912109375,5,1,62.130001068115234,4,0.2000000029802322,4.182499885559082,0,CID94381,CHEMBL374632,ZINC000000044953,333.147726848
EOS102176,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,"InChI=1S/C17H16N2O/c1-19(2)13-9-7-12(8-10-13)11-15-14-5-3-4-6-16(14)18-17(15)20/h3-11H,1-2H3,(H,18,20)/b15-11-",UAKWLVYMKBWHMX-PTNGSMBKSA-N,C17H16N2O,264.3280029296875,3,1,32.34000015258789,2,0.1176470592617988,3.245300054550171,0,CID6450842,CHEMBL328710,ZINC000012339625,264.126263132
EOS103701,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+",LUKBXSAWLPMMSZ-OWOJBTEDSA-N,C14H12O3,228.2469940185547,3,3,60.68999862670898,2,0.0,2.97379994392395,0,CID445154,CHEMBL165,ZINC000000006787,228.078644244
EOS14817,Cc1ccc2nc(-c3cccc(N)c3)oc2c1,"InChI=1S/C14H12N2O/c1-9-5-6-12-13(7-9)17-14(16-12)10-3-2-4-11(15)8-10/h2-8H,15H2,1H3",XTJYRJYREVBTAR-UHFFFAOYSA-N,C14H12N2O,224.26300048828125,3,2,52.04999923706055,1,0.0714285746216774,3.385420083999634,0,CID721026,CHEMBL1417974,ZINC000000122957,224.094963004
EOS19603,O=C(c1ccccc1)c1cc2ccc(O)cc2oc1=O,"InChI=1S/C16H10O4/c17-12-7-6-11-8-13(16(19)20-14(11)9-12)15(18)10-4-2-1-3-5-10/h1-9,17H",UWQPLMCCTUJLSP-UHFFFAOYSA-N,C16H10O4,266.25201416015625,4,1,67.51000213623047,2,0.0,2.729599952697754,0,CID5413038,CHEMBL589351,ZINC000006557585,266.0579088
EOS20618,COc1ccc(C(=O)Nc2ccc(C)cn2)c(OC)c1,"InChI=1S/C15H16N2O3/c1-10-4-7-14(16-9-10)17-15(18)12-6-5-11(19-2)8-13(12)20-3/h4-9H,1-3H3,(H,16,17,18)",DXZWNXBIUIRQRE-UHFFFAOYSA-N,C15H16N2O3,272.3039855957031,5,1,60.45000076293945,4,0.2000000029802322,2.659519910812378,0,CID649849,CHEMBL405914,ZINC000000030283,272.116092372
EOS60470,COc1cc(SC)ccc1C(=O)Nc1nc(C)cs1,"InChI=1S/C13H14N2O2S2/c1-8-7-19-13(14-8)15-12(16)10-5-4-9(18-3)6-11(10)17-2/h4-7H,1-3H3,(H,14,15,16)",LLTKNAKTJMDJRK-UHFFFAOYSA-N,C13H14N2O2S2,294.4010009765625,4,1,51.220001220703125,4,0.2307692319154739,3.434319972991944,0,CID2542040,CHEMBL1453723,ZINC000003422762,294.049669688
EOS84313,COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,"InChI=1S/C15H13N3O2/c1-20-13-9-5-2-6-10(13)14(19)18-15-16-11-7-3-4-8-12(11)17-15/h2-9H,1H3,(H2,16,17,18,19)",SPICRFWJLUCKJT-UHFFFAOYSA-N,C15H13N3O2,267.2879943847656,5,2,67.01000213623047,3,0.0666666701436042,2.8238000869750977,0,CID854418,CHEMBL1459468,ZINC000000406618,267.100776656
EOS100642,Cc1cccc(C#Cc2ccccc2)n1,"InChI=1S/C14H11N.ClH/c1-12-6-5-9-14(15-12)11-10-13-7-3-2-4-8-13;/h2-9H,1H3;1H",PKDHDJBNEKXCBI-UHFFFAOYSA-N,C14H12ClN,229.7100067138672,1,0,12.890000343322754,0,0.0714285746216774,3.211620092391968,0,CID92132714;9794588,CHEMBL1255868,,193.089149352
EOS101970,CCOC(=O)c1sc(NC(=O)c2sccc2C)cc1C,"InChI=1S/C14H15NO3S2/c1-4-18-14(17)12-9(3)7-10(20-12)15-13(16)11-8(2)5-6-19-11/h5-7H,4H2,1-3H3,(H,15,16)",YIIRDIPPHCEEIS-UHFFFAOYSA-N,C14H15NO3S2,309.4119873046875,4,1,55.400001525878906,4,0.2857142984867096,3.8554399013519287,0,CID2354963,CHEMBL1559414,ZINC000003237195,309.04933534
EOS102027,CN(C)c1ccc(-c2nc3ccccc3s2)cc1,"InChI=1S/C15H14N2S/c1-17(2)12-9-7-11(8-10-12)15-16-13-5-3-4-6-14(13)18-15/h3-10H,1-2H3",HYKGLCSXVAAXNC-UHFFFAOYSA-N,C15H14N2S,254.3580017089844,2,0,16.1299991607666,2,0.1333333402872085,4.029300212860107,0,CID95755,CHEMBL92816,ZINC000000019636,254.087769448
EOS102457,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,"InChI=1S/C18H12N2O2/c1-22-12-8-6-11(7-9-12)16-10-15-17(20-19-16)13-4-2-3-5-14(13)18(15)21/h2-10H,1H3",HXQRIHGYIOARQJ-UHFFFAOYSA-N,C18H12N2O2,288.3059997558594,4,0,52.08000183105469,2,0.0555555559694767,3.363600015640259,0,CID379338,CHEMBL125044,ZINC000000196663,288.089877624
