InChI_Key,set,smiles,molecule_chembl_id,molwt,scf,id,ina_dir
LOUCVMNQSMSTMZ-UHFFFAOYSA-N,PubChem,CC(C)(C)OC(=O)N1CCC(c2c(C(=O)NC3CC3)cnn2-c2ccc(Cl)cc2)CC1,CHEMBL1898957,444.9630000000002,CC1CCC(C2CCC(C(C)CC3CC3)C2C2CCC(C(C)CC(C)(C)C)CC2)CC1,DCM-32557,/tmp/temp/ina_vdni7tn2
PYVJVEREHHPNRQ-UHFFFAOYSA-N,PubChem,CCS(=O)(=O)N1CCC(C(=O)NCc2ccc(OC)cc2OC)CC1,CHEMBL1698897,370.4710000000001,CCC1CCC(CCC(C)C2CCC(C(C)(C)CC)CC2)C(CC)C1,DCM-45361,/tmp/temp/ina_vdni7tn2
XKZMCDYOEUCOIS-UHFFFAOYSA-N,PubChem,CC(C)C(NC(=O)C1(NC(=O)OCc2ccccc2)CCCC1)C(=O)O,CHEMBL1877782,362.42600000000016,CC(CCC1CCCCC1)CC1(C(C)CC(C(C)C)C(C)C)CCCC1,DCM-104507,/tmp/temp/ina_vdni7tn2
IONNDCJVHABYOE-UHFFFAOYSA-N,PubChem,O=c1cc(CN2CCN(c3cccc(C(F)(F)F)c3)CC2)nc2sccn12,CHEMBL1584240,394.422,CC1CC(CC2CCC(C3CCCC(C(C)(C)C)C3)CC2)CC2CCCC12,DCM-83001,/tmp/temp/ina_vdni7tn2
UBDQJUOVMRPZMS-UHFFFAOYSA-N,PubChem,CCSC(=Nc1ccccc1)N1CCOCC1,not found,250.367,CCCC(CC1CCCCC1)C1CCCCC1,DCM-55516,/tmp/temp/ina_vdni7tn2
AETUHKOKVUAZOM-UHFFFAOYSA-N,PubChem,Cc1ccc(C)c(NC(=O)CN(C)S(=O)(=O)c2ccccc2)c1,CHEMBL1313275,332.425,CC1CCC(C)C(CC(C)CC(C)C(C)(C)C2CCCCC2)C1,DCM-74062,/tmp/temp/ina_vdni7tn2
AECJFHHQSIRMIY-UHFFFAOYSA-N,PubChem,CCOc1ccc2[nH]c(=O)c(CN(CCO)C(=O)c3ccccc3F)cc2c1,CHEMBL1529178,384.40700000000015,CCCC1CCC2CC(C)C(CC(CCC)C(C)C3CCCCC3C)CC2C1,DCM-49958,/tmp/temp/ina_vdni7tn2
ONKCPPDXSUYCIN-UHFFFAOYSA-N,PubChem,O=C(NCc1cccc(F)c1)c1cccc2c1C(=O)c1ccc(Cl)cc1S2(=O)=O,CHEMBL1710563,429.8560000000001,CC1CCCC(CCC(C)C2CCCC3C2C(C)C2CCC(C)CC2C3(C)C)C1,DCM-72361,/tmp/temp/ina_vdni7tn2
UWAMHDNLBCXJAV-UHFFFAOYSA-N,PubChem,CCN(CC)S(=O)(=O)c1cccc(NC(=O)CN(C)Cc2cccc(OC)c2)c1,CHEMBL1620166,419.54700000000025,CCC1CCCC(CC(C)CC(C)CC2CCCC(C(C)(C)C(CC)CC)C2)C1,DCM-94244,/tmp/temp/ina_vdni7tn2
UAYLATLMYMPIGP-UHFFFAOYSA-N,PubChem,Cc1cccc(CN2CCN(C3CN(Cc4ccc([N+](=O)[O-])cc4)S(=O)(=O)C3)CC2)c1,CHEMBL1868182,444.5570000000002,CC1CCCC(CC2CCC(C3CC(CC4CCC(C(C)C)CC4)C(C)(C)C3)CC2)C1,DCM-113280,/tmp/temp/ina_vdni7tn2
ILEDDNZAPFCDBH-UHFFFAOYSA-N,PubChem,Cc1ccccc1-c1ncc(CN2CCN(C3CCCC3)C(CCO)C2)cn1,CHEMBL1701066,380.53600000000006,CCCC1CC(CC2CCC(C3CCCCC3C)CC2)CCC1C1CCCC1,DCM-86254,/tmp/temp/ina_vdni7tn2
UWUFRUHNNYYTNL-PJQVPRSSSA-N,PubChem,C[C@H]1COC(=O)[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C/C=C\C[C@H](CC(=O)NCCO)C(=O)N1,CHEMBL1893695,549.6240000000004,CCCCC(C)CC1CCCCC(CC(C)CCC2C3CCCCC3C3CCCCC32)C(C)CCC(C)CC1C,DCM-95858,/tmp/temp/ina_vdni7tn2
BWQGXXHJWUUTNI-UHFFFAOYSA-N,PubChem,COc1ccc(NC(=O)CNC(=O)c2cccs2)cc1Cl,CHEMBL1527839,324.789,CCC1CCC(CC(C)CCC(C)C2CCCC2)CC1C,DCM-82176,/tmp/temp/ina_vdni7tn2
